Num,MSE
507,0.277055
508,0.277002
509,0.276950
510,0.276897
511,0.276844
512,0.276792
513,0.276739
514,0.276687
515,0.276635
516,0.276583
517,0.276530
518,0.276478
519,0.276426
520,0.276374
521,0.276322
522,0.276270
523,0.276219
524,0.276167
525,0.276115
526,0.276063
527,0.276012
528,0.275960
529,0.275908
530,0.275857
531,0.275805
532,0.275754
533,0.275702
534,0.275651
535,0.275599
536,0.275548
537,0.275497
538,0.275445
539,0.275394
540,0.275342
541,0.275291
542,0.275240
543,0.275189
544,0.275137
545,0.275086
546,0.275034
547,0.274983
548,0.274932
549,0.274880
550,0.274829
551,0.274778
552,0.274726
553,0.274675
554,0.274623
555,0.274572
556,0.274520
557,0.274468
558,0.274417
559,0.274365
560,0.274313
561,0.274261
562,0.274209
563,0.274157
564,0.274105
565,0.274053
566,0.274001
567,0.273948
568,0.273896
569,0.273843
570,0.273791
571,0.273738
572,0.273685
573,0.273632
574,0.273579
575,0.273525
576,0.273472
577,0.273418
578,0.273364
579,0.273310
580,0.273256
581,0.273202
582,0.273148
583,0.273093
584,0.273038
585,0.272984
586,0.272929
587,0.272874
588,0.272818
589,0.272763
590,0.272707
591,0.272652
592,0.272596
593,0.272540
594,0.272484
595,0.272427
596,0.272371
597,0.272314
598,0.272257
599,0.272200
600,0.272142
601,0.272085
602,0.272027
603,0.271969
604,0.271910
605,0.271852
606,0.271793
607,0.271734
608,0.271675
609,0.271616
610,0.271556
611,0.271496
612,0.271435
613,0.271375
614,0.271314
615,0.271253
616,0.271192
617,0.271130
618,0.271067
619,0.271005
620,0.270943
621,0.270879
622,0.270816
623,0.270753
624,0.270689
625,0.270624
626,0.270559
627,0.270494
628,0.270429
629,0.270363
630,0.270297
631,0.270230
632,0.270163
633,0.270096
634,0.270028
635,0.269960
636,0.269891
637,0.269822
638,0.269752
639,0.269682
640,0.269611
641,0.269540
642,0.269469
643,0.269397
644,0.269324
645,0.269251
646,0.269177
647,0.269102
648,0.269028
649,0.268953
650,0.268877
651,0.268800
652,0.268723
653,0.268645
654,0.268567
655,0.268488
656,0.268407
657,0.268327
658,0.268246
659,0.268164
660,0.268081
661,0.267998
662,0.267914
663,0.267829
664,0.267743
665,0.267656
666,0.267569
667,0.267481
668,0.267392
669,0.267302
670,0.267211
671,0.267119
672,0.267026
673,0.266932
674,0.266838
675,0.266742
676,0.266645
677,0.266547
678,0.266448
679,0.266348
680,0.266248
681,0.266145
682,0.266043
683,0.265938
684,0.265832
685,0.265725
686,0.265617
687,0.265508
688,0.265397
689,0.265285
690,0.265172
691,0.265057
692,0.264942
693,0.264825
694,0.264705
695,0.264586
696,0.264464
697,0.264340
698,0.264217
699,0.264090
700,0.263963
701,0.263834
702,0.263703
703,0.263566
704,0.263433
705,0.263298
706,0.263161
707,0.263018
708,0.262878
709,0.262737
710,0.262588
711,0.262444
712,0.262299
713,0.262151
714,0.261997
715,0.261847
716,0.261694
717,0.261533
718,0.261379
719,0.261221
720,0.261057
721,0.260896
722,0.260730
723,0.260567
724,0.260395
725,0.260227
726,0.260053
727,0.259884
728,0.259709
729,0.259536
730,0.259359
731,0.259179
732,0.259000
733,0.258821
734,0.258637
735,0.258458
736,0.258273
737,0.258088
738,0.257904
739,0.257720
740,0.257533
741,0.257344
742,0.257153
743,0.256966
744,0.256774
745,0.256583
746,0.256389
747,0.256194
748,0.255999
749,0.255806
750,0.255610
751,0.255412
752,0.255213
753,0.255013
754,0.254814
755,0.254614
756,0.254411
757,0.254209
758,0.254005
759,0.253802
760,0.253597
761,0.253391
762,0.253188
763,0.252981
764,0.252775
765,0.252569
766,0.252360
767,0.252149
768,0.251940
769,0.251730
770,0.251519
771,0.251306
772,0.251094
773,0.250880
774,0.250666
775,0.250454
776,0.250241
777,0.250026
778,0.249810
779,0.249595
780,0.249379
781,0.249164
782,0.248952
783,0.248738
784,0.248525
785,0.248311
786,0.248093
787,0.247878
788,0.247662
789,0.247446
790,0.247227
791,0.247012
792,0.246795
793,0.246578
794,0.246362
795,0.246143
796,0.245925
797,0.245708
798,0.245491
799,0.245271
800,0.245053
801,0.244836
802,0.244621
803,0.244402
804,0.244183
805,0.243966
806,0.243747
807,0.243530
808,0.243313
809,0.243093
810,0.242875
811,0.242657
812,0.242438
813,0.242220
814,0.242003
815,0.241786
816,0.241569
817,0.241350
818,0.241131
819,0.240914
820,0.240696
821,0.240479
822,0.240262
823,0.240045
824,0.239827
825,0.239613
826,0.239396
827,0.239178
828,0.238961
829,0.238744
830,0.238527
831,0.238311
832,0.238095
833,0.237881
834,0.237665
835,0.237449
836,0.237232
837,0.237017
838,0.236803
839,0.236589
840,0.236374
841,0.236160
842,0.235944
843,0.235730
844,0.235517
845,0.235305
846,0.235091
847,0.234876
848,0.234663
849,0.234450
850,0.234237
851,0.234026
852,0.233813
853,0.233600
854,0.233388
855,0.233177
856,0.232965
857,0.232753
858,0.232542
859,0.232330
860,0.232117
861,0.231903
862,0.231688
863,0.231473
864,0.231257
865,0.231041
866,0.230823
867,0.230605
868,0.230387
869,0.230168
870,0.229950
871,0.229730
872,0.229510
873,0.229291
874,0.229071
875,0.228850
876,0.228630
877,0.228409
878,0.228188
879,0.227967
880,0.227747
881,0.227525
882,0.227304
883,0.227084
884,0.226862
885,0.226641
886,0.226420
887,0.226199
888,0.225979
889,0.225758
890,0.225537
